2026-03-25 09:43:39 | INFO     | tests.conftest | Obtaining auth token for test module
2026-03-25 09:43:39 | INFO     | api_clients.base_client | POST https://restful-booker.herokuapp.com/auth
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 200 (0.04s)
2026-03-25 09:43:39 | INFO     | api_clients.auth_client | Authentication successful, token obtained
2026-03-25 09:43:39 | INFO     | api_clients.base_client | POST https://restful-booker.herokuapp.com/booking
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 200 (0.03s)
2026-03-25 09:43:39 | INFO     | api_clients.base_client | GET https://restful-booker.herokuapp.com/booking/1909
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 200 (0.03s)
2026-03-25 09:43:39 | INFO     | api_clients.base_client | PUT https://restful-booker.herokuapp.com/booking/1909
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 200 (0.03s)
2026-03-25 09:43:39 | INFO     | api_clients.base_client | PATCH https://restful-booker.herokuapp.com/booking/1909
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 200 (0.03s)
2026-03-25 09:43:39 | INFO     | api_clients.base_client | DELETE https://restful-booker.herokuapp.com/booking/1909
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 201 (0.03s)
2026-03-25 09:43:39 | INFO     | api_clients.base_client | GET https://restful-booker.herokuapp.com/booking/1909
2026-03-25 09:43:39 | INFO     | api_clients.base_client | Response: 404 (0.03s)
